depth,ioi_real_EAP,ioi_real_EAP-IG,ioi_EAP_EAP-IG,greater-than_real_EAP,greater-than_real_EAP-IG,greater-than_EAP_EAP-IG,gender-bias_real_EAP,gender-bias_real_EAP-IG,gender-bias_EAP_EAP-IG,sva_real_EAP,sva_real_EAP-IG,sva_EAP_EAP-IG,fact-retrieval-comma_real_EAP,fact-retrieval-comma_real_EAP-IG,fact-retrieval-comma_EAP_EAP-IG,hypernymy-comma_real_EAP,hypernymy-comma_real_EAP-IG,hypernymy-comma_EAP_EAP-IG
36,0.0,0.8666666666666667,0.0,0.8666666666666667,0.8125,0.7058823529411765,0.8461538461538461,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.75,0.9230769230769231,0.6923076923076923,0.0,0.9090909090909091,0.0
37,0.0,0.8666666666666667,0.0,0.9333333333333333,0.8235294117647058,0.7647058823529411,0.8461538461538461,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.75,0.9230769230769231,0.6923076923076923,0.0,0.9090909090909091,0.0
38,0.0,0.9333333333333333,0.0,0.9333333333333333,0.8235294117647058,0.7647058823529411,0.8461538461538461,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.75,0.9230769230769231,0.6923076923076923,0.0,0.9090909090909091,0.0
39,0.0,0.9333333333333333,0.0,0.9333333333333333,0.8235294117647058,0.7647058823529411,0.7857142857142857,0.8,0.7142857142857143,0.0,0.0,0.0,0.75,0.9230769230769231,0.6923076923076923,0.0,0.7692307692307693,0.0
40,0.0,0.875,0.0,1.0,0.8235294117647058,0.8235294117647058,0.7857142857142857,0.8,0.7142857142857143,0.0,0.0,0.0,0.75,0.9230769230769231,0.6923076923076923,0.0,0.7142857142857143,0.0
41,0.0,0.8235294117647058,0.0,0.9375,0.7777777777777778,0.8235294117647058,0.7857142857142857,0.8,0.7142857142857143,0.0,0.0,0.0,0.75,0.9230769230769231,0.6923076923076923,0.0,0.7333333333333333,0.0
42,0.0,0.8823529411764706,0.0,0.9375,0.7777777777777778,0.8235294117647058,0.7857142857142857,0.8,0.7142857142857143,0.0,0.0,0.0,0.75,0.9230769230769231,0.6923076923076923,1.0,0.7333333333333333,0.7333333333333333
43,0.0,0.8823529411764706,0.0,0.8823529411764706,0.7894736842105263,0.7777777777777778,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.0,0.0,0.0,0.8333333333333334,0.9230769230769231,0.7692307692307693,1.0,0.7333333333333333,0.7333333333333333
44,0.0,0.8823529411764706,0.0,0.8823529411764706,0.7894736842105263,0.7777777777777778,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.0,0.0,0.0,0.8333333333333334,0.9230769230769231,0.7692307692307693,1.0,0.6875,0.6875
45,0.0,0.8823529411764706,0.0,0.8823529411764706,0.7894736842105263,0.7777777777777778,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.0,0.0,0.0,0.8333333333333334,0.8571428571428571,0.7142857142857143,1.0,0.6875,0.6875
46,0.0,0.8823529411764706,0.0,0.8823529411764706,0.75,0.7368421052631579,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.0,0.0,0.0,0.8333333333333334,0.8571428571428571,0.7142857142857143,0.9230769230769231,0.7058823529411765,0.6470588235294118
47,0.0,0.8333333333333334,0.0,0.9411764705882353,0.75,0.7894736842105263,0.7333333333333333,0.8125,0.6875,0.0,0.0,0.0,0.8333333333333334,0.8571428571428571,0.7142857142857143,0.9230769230769231,0.7058823529411765,0.6470588235294118
48,0.0,0.8888888888888888,0.0,0.9411764705882353,0.8,0.8421052631578947,0.8,0.8235294117647058,0.75,0.0,0.0,0.0,0.7692307692307693,0.9285714285714286,0.7142857142857143,0.9230769230769231,0.6666666666666666,0.6111111111111112
49,0.0,0.8421052631578947,0.0,0.9411764705882353,0.8,0.8421052631578947,0.8666666666666667,0.8235294117647058,0.7058823529411765,0.0,0.0,0.0,0.7692307692307693,0.9285714285714286,0.7142857142857143,0.9230769230769231,0.6666666666666666,0.6111111111111112
50,0.0,0.8421052631578947,0.0,0.8888888888888888,0.8,0.8,0.8666666666666667,0.8235294117647058,0.7058823529411765,0.0,0.0,0.0,0.7692307692307693,0.8666666666666667,0.6666666666666666,0.8571428571428571,0.6,0.5789473684210527
51,0.0,0.8421052631578947,0.0,0.8888888888888888,0.8,0.8,0.8125,0.8235294117647058,0.6666666666666666,0.0,0.0,0.0,0.7692307692307693,0.8666666666666667,0.6666666666666666,0.9285714285714286,0.6,0.55
52,0.0,0.7619047619047619,0.0,0.8888888888888888,0.8,0.8,0.8125,0.8235294117647058,0.6666666666666666,0.0,0.0,0.0,0.7692307692307693,0.8666666666666667,0.6666666666666666,0.9285714285714286,0.6,0.55
53,0.0,0.7619047619047619,0.0,0.8947368421052632,0.7619047619047619,0.7619047619047619,0.8125,0.8235294117647058,0.6666666666666666,0.0,0.0,0.0,0.7692307692307693,0.8125,0.625,0.9285714285714286,0.6,0.55
54,0.0,0.7619047619047619,0.0,0.8947368421052632,0.8095238095238095,0.7272727272727273,0.7647058823529411,0.7777777777777778,0.6,0.0,0.0,0.0,0.7692307692307693,0.8125,0.625,0.8666666666666667,0.5714285714285714,0.55
55,0.0,0.7272727272727273,0.0,0.8947368421052632,0.8095238095238095,0.7272727272727273,0.7647058823529411,0.7777777777777778,0.6,0.0,0.0,0.0,0.7692307692307693,0.7647058823529411,0.5882352941176471,0.9333333333333333,0.5714285714285714,0.6
56,0.0,0.7727272727272727,0.0,0.9473684210526315,0.7727272727272727,0.7272727272727273,0.8235294117647058,0.7368421052631579,0.6,0.0,0.0,0.0,0.7692307692307693,0.7647058823529411,0.5882352941176471,1.0,0.6190476190476191,0.6190476190476191
57,0.0,0.782608695652174,0.0,0.9473684210526315,0.7727272727272727,0.7272727272727273,0.8235294117647058,0.7368421052631579,0.6,0.0,0.0,0.0,0.7692307692307693,0.7222222222222222,0.5555555555555556,1.0,0.5909090909090909,0.5909090909090909
