edges,EAP_node_precision,EAP_node_recall,EAP_edge_precision,EAP_edge_recall,EAP-IG_node_precision,EAP-IG_node_recall,EAP-IG_edge_precision,EAP-IG_edge_recall
55,0.6071428571428571,0.8947368421052632,0.7636363636363637,0.175,0.782608695652174,0.9473684210526315,0.8545454545454545,0.19583333333333333
56,0.6071428571428571,0.8947368421052632,0.7678571428571429,0.17916666666666667,0.782608695652174,0.9473684210526315,0.8571428571428571,0.2
57,0.5862068965517241,0.8947368421052632,0.7543859649122807,0.17916666666666667,0.782608695652174,0.9473684210526315,0.8421052631578947,0.2
58,0.5862068965517241,0.8947368421052632,0.7586206896551724,0.18333333333333332,0.782608695652174,0.9473684210526315,0.8448275862068966,0.20416666666666666
59,0.5862068965517241,0.8947368421052632,0.7457627118644068,0.18333333333333332,0.782608695652174,0.9473684210526315,0.847457627118644,0.20833333333333334
60,0.5862068965517241,0.8947368421052632,0.7333333333333333,0.18333333333333332,0.782608695652174,0.9473684210526315,0.85,0.2125
61,0.5862068965517241,0.8947368421052632,0.7377049180327869,0.1875,0.782608695652174,0.9473684210526315,0.8524590163934426,0.21666666666666667
62,0.5862068965517241,0.8947368421052632,0.7258064516129032,0.1875,0.782608695652174,0.9473684210526315,0.8548387096774194,0.22083333333333333
63,0.5862068965517241,0.8947368421052632,0.7301587301587301,0.19166666666666668,0.782608695652174,0.9473684210526315,0.8571428571428571,0.225
64,0.5666666666666667,0.8947368421052632,0.71875,0.19166666666666668,0.782608695652174,0.9473684210526315,0.859375,0.22916666666666666
65,0.5666666666666667,0.8947368421052632,0.7076923076923077,0.19166666666666668,0.75,0.9473684210526315,0.8461538461538461,0.22916666666666666
66,0.5666666666666667,0.8947368421052632,0.696969696969697,0.19166666666666668,0.75,0.9473684210526315,0.8484848484848485,0.23333333333333334
67,0.5483870967741935,0.8947368421052632,0.6865671641791045,0.19166666666666668,0.75,0.9473684210526315,0.835820895522388,0.23333333333333334
68,0.53125,0.8947368421052632,0.6764705882352942,0.19166666666666668,0.72,0.9473684210526315,0.8235294117647058,0.23333333333333334
69,0.53125,0.8947368421052632,0.6811594202898551,0.19583333333333333,0.72,0.9473684210526315,0.8115942028985508,0.23333333333333334
70,0.5454545454545454,0.9473684210526315,0.6714285714285714,0.19583333333333333,0.72,0.9473684210526315,0.8142857142857143,0.2375
71,0.5294117647058824,0.9473684210526315,0.6619718309859155,0.19583333333333333,0.72,0.9473684210526315,0.8169014084507042,0.24166666666666667
72,0.5294117647058824,0.9473684210526315,0.6666666666666666,0.2,0.72,0.9473684210526315,0.8194444444444444,0.24583333333333332
73,0.5294117647058824,0.9473684210526315,0.6712328767123288,0.20416666666666666,0.72,0.9473684210526315,0.821917808219178,0.25
74,0.5294117647058824,0.9473684210526315,0.6621621621621622,0.20416666666666666,0.72,0.9473684210526315,0.8243243243243243,0.25416666666666665
75,0.5294117647058824,0.9473684210526315,0.6533333333333333,0.20416666666666666,0.72,0.9473684210526315,0.8133333333333334,0.25416666666666665
76,0.5142857142857142,0.9473684210526315,0.6447368421052632,0.20416666666666666,0.72,0.9473684210526315,0.8157894736842105,0.25833333333333336
77,0.5142857142857142,0.9473684210526315,0.6493506493506493,0.20833333333333334,0.6923076923076923,0.9473684210526315,0.8051948051948052,0.25833333333333336
78,0.5,0.9473684210526315,0.6410256410256411,0.20833333333333334,0.6923076923076923,0.9473684210526315,0.8076923076923077,0.2625
79,0.5,0.9473684210526315,0.6329113924050633,0.20833333333333334,0.6923076923076923,0.9473684210526315,0.7974683544303798,0.2625
80,0.4864864864864865,0.9473684210526315,0.625,0.20833333333333334,0.6923076923076923,0.9473684210526315,0.8,0.26666666666666666
81,0.4864864864864865,0.9473684210526315,0.6296296296296297,0.2125,0.6923076923076923,0.9473684210526315,0.7901234567901234,0.26666666666666666
82,0.4864864864864865,0.9473684210526315,0.6341463414634146,0.21666666666666667,0.6666666666666666,0.9473684210526315,0.7804878048780488,0.26666666666666666
83,0.4864864864864865,0.9473684210526315,0.6385542168674698,0.22083333333333333,0.6666666666666666,0.9473684210526315,0.7831325301204819,0.2708333333333333
84,0.4864864864864865,0.9473684210526315,0.6309523809523809,0.22083333333333333,0.6666666666666666,0.9473684210526315,0.7857142857142857,0.275
85,0.4864864864864865,0.9473684210526315,0.6235294117647059,0.22083333333333333,0.6428571428571429,0.9473684210526315,0.7764705882352941,0.275
86,0.4864864864864865,0.9473684210526315,0.627906976744186,0.225,0.6428571428571429,0.9473684210526315,0.7674418604651163,0.275
87,0.4864864864864865,0.9473684210526315,0.6206896551724138,0.225,0.6206896551724138,0.9473684210526315,0.7586206896551724,0.275
88,0.4864864864864865,0.9473684210526315,0.6136363636363636,0.225,0.6206896551724138,0.9473684210526315,0.75,0.275
89,0.4864864864864865,0.9473684210526315,0.6067415730337079,0.225,0.6206896551724138,0.9473684210526315,0.7528089887640449,0.2791666666666667
90,0.4864864864864865,0.9473684210526315,0.6111111111111112,0.22916666666666666,0.6206896551724138,0.9473684210526315,0.7444444444444445,0.2791666666666667
91,0.4864864864864865,0.9473684210526315,0.6153846153846154,0.23333333333333334,0.6206896551724138,0.9473684210526315,0.7362637362637363,0.2791666666666667
92,0.47368421052631576,0.9473684210526315,0.6086956521739131,0.23333333333333334,0.6206896551724138,0.9473684210526315,0.7391304347826086,0.2833333333333333
93,0.47368421052631576,0.9473684210526315,0.6021505376344086,0.23333333333333334,0.6,0.9473684210526315,0.7311827956989247,0.2833333333333333
94,0.47368421052631576,0.9473684210526315,0.6063829787234043,0.2375,0.6,0.9473684210526315,0.7340425531914894,0.2875
95,0.47368421052631576,0.9473684210526315,0.6105263157894737,0.24166666666666667,0.6,0.9473684210526315,0.7368421052631579,0.2916666666666667
96,0.47368421052631576,0.9473684210526315,0.6041666666666666,0.24166666666666667,0.6,0.9473684210526315,0.7291666666666666,0.2916666666666667
97,0.47368421052631576,0.9473684210526315,0.5979381443298969,0.24166666666666667,0.5806451612903226,0.9473684210526315,0.7216494845360825,0.2916666666666667
98,0.47368421052631576,0.9473684210526315,0.5918367346938775,0.24166666666666667,0.5806451612903226,0.9473684210526315,0.7244897959183674,0.29583333333333334
99,0.47368421052631576,0.9473684210526315,0.5858585858585859,0.24166666666666667,0.5625,0.9473684210526315,0.7171717171717171,0.29583333333333334
100,0.47368421052631576,0.9473684210526315,0.58,0.24166666666666667,0.5625,0.9473684210526315,0.72,0.3
101,0.47368421052631576,0.9473684210526315,0.5841584158415841,0.24583333333333332,0.5625,0.9473684210526315,0.7227722772277227,0.30416666666666664
102,0.46153846153846156,0.9473684210526315,0.5784313725490197,0.24583333333333332,0.5625,0.9473684210526315,0.7156862745098039,0.30416666666666664
103,0.46153846153846156,0.9473684210526315,0.5825242718446602,0.25,0.5454545454545454,0.9473684210526315,0.7087378640776699,0.30416666666666664
104,0.46153846153846156,0.9473684210526315,0.5769230769230769,0.25,0.5454545454545454,0.9473684210526315,0.7019230769230769,0.30416666666666664
105,0.45,0.9473684210526315,0.5714285714285714,0.25,0.5454545454545454,0.9473684210526315,0.7047619047619048,0.30833333333333335
106,0.43902439024390244,0.9473684210526315,0.5660377358490566,0.25,0.5454545454545454,0.9473684210526315,0.7075471698113207,0.3125
107,0.43902439024390244,0.9473684210526315,0.5607476635514018,0.25,0.5294117647058824,0.9473684210526315,0.7009345794392523,0.3125
108,0.43902439024390244,0.9473684210526315,0.5648148148148148,0.25416666666666665,0.5294117647058824,0.9473684210526315,0.6944444444444444,0.3125
109,0.42857142857142855,0.9473684210526315,0.5596330275229358,0.25416666666666665,0.5294117647058824,0.9473684210526315,0.6972477064220184,0.31666666666666665
110,0.4186046511627907,0.9473684210526315,0.5545454545454546,0.25416666666666665,0.5294117647058824,0.9473684210526315,0.6909090909090909,0.31666666666666665
111,0.4186046511627907,0.9473684210526315,0.5495495495495496,0.25416666666666665,0.5294117647058824,0.9473684210526315,0.6846846846846847,0.31666666666666665
112,0.4186046511627907,0.9473684210526315,0.5535714285714286,0.25833333333333336,0.5294117647058824,0.9473684210526315,0.6875,0.32083333333333336
113,0.4186046511627907,0.9473684210526315,0.5486725663716814,0.25833333333333336,0.5142857142857142,0.9473684210526315,0.6814159292035398,0.32083333333333336
114,0.4186046511627907,0.9473684210526315,0.5526315789473685,0.2625,0.5142857142857142,0.9473684210526315,0.6754385964912281,0.32083333333333336
115,0.4186046511627907,0.9473684210526315,0.5478260869565217,0.2625,0.5142857142857142,0.9473684210526315,0.6695652173913044,0.32083333333333336
116,0.4186046511627907,0.9473684210526315,0.5431034482758621,0.2625,0.5,0.9473684210526315,0.6637931034482759,0.32083333333333336
117,0.4186046511627907,0.9473684210526315,0.5384615384615384,0.2625,0.5,0.9473684210526315,0.6666666666666666,0.325
118,0.4186046511627907,0.9473684210526315,0.5423728813559322,0.26666666666666666,0.5,0.9473684210526315,0.6610169491525424,0.325
119,0.4186046511627907,0.9473684210526315,0.5462184873949579,0.2708333333333333,0.5,0.9473684210526315,0.6638655462184874,0.32916666666666666
120,0.4186046511627907,0.9473684210526315,0.55,0.275,0.5,0.9473684210526315,0.6666666666666666,0.3333333333333333
121,0.4186046511627907,0.9473684210526315,0.5454545454545454,0.275,0.5,0.9473684210526315,0.6611570247933884,0.3333333333333333
122,0.4186046511627907,0.9473684210526315,0.5409836065573771,0.275,0.4864864864864865,0.9473684210526315,0.6557377049180327,0.3333333333333333
123,0.4186046511627907,0.9473684210526315,0.5365853658536586,0.275,0.4864864864864865,0.9473684210526315,0.6504065040650406,0.3333333333333333
124,0.4186046511627907,0.9473684210526315,0.5403225806451613,0.2791666666666667,0.4864864864864865,0.9473684210526315,0.6532258064516129,0.3375
125,0.4186046511627907,0.9473684210526315,0.536,0.2791666666666667,0.4864864864864865,0.9473684210526315,0.648,0.3375
126,0.4186046511627907,0.9473684210526315,0.5396825396825397,0.2833333333333333,0.4864864864864865,0.9473684210526315,0.6428571428571429,0.3375
127,0.4186046511627907,0.9473684210526315,0.5354330708661418,0.2833333333333333,0.4864864864864865,0.9473684210526315,0.6377952755905512,0.3375
128,0.4186046511627907,0.9473684210526315,0.53125,0.2833333333333333,0.4864864864864865,0.9473684210526315,0.640625,0.3416666666666667
129,0.4186046511627907,0.9473684210526315,0.5271317829457365,0.2833333333333333,0.4864864864864865,0.9473684210526315,0.6356589147286822,0.3416666666666667
130,0.4186046511627907,0.9473684210526315,0.5230769230769231,0.2833333333333333,0.4864864864864865,0.9473684210526315,0.6307692307692307,0.3416666666666667
131,0.4186046511627907,0.9473684210526315,0.5190839694656488,0.2833333333333333,0.4864864864864865,0.9473684210526315,0.6259541984732825,0.3416666666666667
132,0.4186046511627907,0.9473684210526315,0.5227272727272727,0.2875,0.4864864864864865,0.9473684210526315,0.6287878787878788,0.3458333333333333
133,0.4186046511627907,0.9473684210526315,0.5263157894736842,0.2916666666666667,0.4864864864864865,0.9473684210526315,0.631578947368421,0.35
134,0.4186046511627907,0.9473684210526315,0.5223880597014925,0.2916666666666667,0.4864864864864865,0.9473684210526315,0.6268656716417911,0.35
135,0.4186046511627907,0.9473684210526315,0.5185185185185185,0.2916666666666667,0.47368421052631576,0.9473684210526315,0.6222222222222222,0.35
136,0.4186046511627907,0.9473684210526315,0.5147058823529411,0.2916666666666667,0.46153846153846156,0.9473684210526315,0.6176470588235294,0.35
137,0.4090909090909091,0.9473684210526315,0.5109489051094891,0.2916666666666667,0.46153846153846156,0.9473684210526315,0.6131386861313869,0.35
138,0.4090909090909091,0.9473684210526315,0.5072463768115942,0.2916666666666667,0.45,0.9473684210526315,0.6086956521739131,0.35
139,0.4090909090909091,0.9473684210526315,0.5035971223021583,0.2916666666666667,0.43902439024390244,0.9473684210526315,0.60431654676259,0.35
140,0.4090909090909091,0.9473684210526315,0.5,0.2916666666666667,0.42857142857142855,0.9473684210526315,0.6,0.35
141,0.4090909090909091,0.9473684210526315,0.49645390070921985,0.2916666666666667,0.42857142857142855,0.9473684210526315,0.5957446808510638,0.35
142,0.4090909090909091,0.9473684210526315,0.49295774647887325,0.2916666666666667,0.4186046511627907,0.9473684210526315,0.5915492957746479,0.35
143,0.4090909090909091,0.9473684210526315,0.48951048951048953,0.2916666666666667,0.4186046511627907,0.9473684210526315,0.5874125874125874,0.35
144,0.4090909090909091,0.9473684210526315,0.4861111111111111,0.2916666666666667,0.4186046511627907,0.9473684210526315,0.5833333333333334,0.35
145,0.4090909090909091,0.9473684210526315,0.4896551724137931,0.29583333333333334,0.4186046511627907,0.9473684210526315,0.5793103448275863,0.35
146,0.4,0.9473684210526315,0.4863013698630137,0.29583333333333334,0.4186046511627907,0.9473684210526315,0.5821917808219178,0.3541666666666667
147,0.4,0.9473684210526315,0.4897959183673469,0.3,0.4186046511627907,0.9473684210526315,0.5782312925170068,0.3541666666666667
148,0.4,0.9473684210526315,0.49324324324324326,0.30416666666666664,0.4186046511627907,0.9473684210526315,0.5743243243243243,0.3541666666666667
149,0.391304347826087,0.9473684210526315,0.4899328859060403,0.30416666666666664,0.4186046511627907,0.9473684210526315,0.5704697986577181,0.3541666666666667
150,0.391304347826087,0.9473684210526315,0.49333333333333335,0.30833333333333335,0.4090909090909091,0.9473684210526315,0.5666666666666667,0.3541666666666667
151,0.3829787234042553,0.9473684210526315,0.4900662251655629,0.30833333333333335,0.4,0.9473684210526315,0.5629139072847682,0.3541666666666667
152,0.3829787234042553,0.9473684210526315,0.4934210526315789,0.3125,0.4,0.9473684210526315,0.5657894736842105,0.35833333333333334
153,0.3829787234042553,0.9473684210526315,0.49019607843137253,0.3125,0.4,0.9473684210526315,0.5620915032679739,0.35833333333333334
154,0.3829787234042553,0.9473684210526315,0.4935064935064935,0.31666666666666665,0.4,0.9473684210526315,0.5584415584415584,0.35833333333333334
155,0.3829787234042553,0.9473684210526315,0.49032258064516127,0.31666666666666665,0.391304347826087,0.9473684210526315,0.5548387096774193,0.35833333333333334
156,0.375,0.9473684210526315,0.48717948717948717,0.31666666666666665,0.391304347826087,0.9473684210526315,0.5512820512820513,0.35833333333333334
157,0.375,0.9473684210526315,0.4840764331210191,0.31666666666666665,0.391304347826087,0.9473684210526315,0.5477707006369427,0.35833333333333334
158,0.375,0.9473684210526315,0.4873417721518987,0.32083333333333336,0.391304347826087,0.9473684210526315,0.5506329113924051,0.3625
159,0.3673469387755102,0.9473684210526315,0.48427672955974843,0.32083333333333336,0.3829787234042553,0.9473684210526315,0.5471698113207547,0.3625
160,0.3673469387755102,0.9473684210526315,0.48125,0.32083333333333336,0.375,0.9473684210526315,0.54375,0.3625
161,0.3673469387755102,0.9473684210526315,0.484472049689441,0.325,0.375,0.9473684210526315,0.546583850931677,0.36666666666666664
162,0.36,0.9473684210526315,0.48148148148148145,0.325,0.375,0.9473684210526315,0.5432098765432098,0.36666666666666664
163,0.36,0.9473684210526315,0.4785276073619632,0.325,0.375,0.9473684210526315,0.5460122699386503,0.37083333333333335
164,0.35294117647058826,0.9473684210526315,0.47560975609756095,0.325,0.375,0.9473684210526315,0.5487804878048781,0.375
165,0.35294117647058826,0.9473684210526315,0.4727272727272727,0.325,0.3673469387755102,0.9473684210526315,0.5454545454545454,0.375
166,0.35294117647058826,0.9473684210526315,0.46987951807228917,0.325,0.36,0.9473684210526315,0.5421686746987951,0.375
167,0.35294117647058826,0.9473684210526315,0.47305389221556887,0.32916666666666666,0.36,0.9473684210526315,0.5389221556886228,0.375
